,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XLM-USD,20.509270869068935,24.0
1,ZEC-USD,ALGO-USD,268.1120077262176,12.0
2,LINK-USD,EOS-USD,8.610402712499795,11.0
3,LINK-USD,UMA-USD,3.971701545331379,20.0
4,MKR-USD,FIL-USD,210.30313855017155,12.0
5,MKR-USD,ZRX-USD,4309.854953592135,23.0
6,MKR-USD,UMA-USD,567.9586112360249,21.0
7,MKR-USD,ETH-USD,0.48055827913074867,23.0
8,ATOM-USD,ZRX-USD,44.454622495248096,12.0
9,ATOM-USD,UMA-USD,5.857360681116038,6.0
10,BCH-USD,LTC-USD,2.7636478812357117,20.0
11,ENJ-USD,ZRX-USD,1.4280093707459827,4.0
12,ENJ-USD,UMA-USD,0.18809780573970342,7.0
13,ENJ-USD,DOT-USD,0.057714269273718796,9.0
14,ENJ-USD,DOGE-USD,4.522111360062747,10.0
15,RUNE-USD,ALGO-USD,8.831127966146102,24.0
16,FIL-USD,AAVE-USD,0.05905431993786963,17.0
17,ZRX-USD,UMA-USD,0.13168348089605286,8.0
18,ZRX-USD,DOT-USD,0.040403752500497145,10.0
19,ZRX-USD,DOGE-USD,3.1661059679701387,8.0
20,ZRX-USD,UNI-USD,0.03895418122510023,11.0
21,ZRX-USD,ETH-USD,0.00011142226170483764,10.0
22,YFI-USD,AAVE-USD,93.86545221520221,22.0
23,EOS-USD,NEAR-USD,0.5336756939922204,8.0
24,EOS-USD,XMR-USD,0.00448633926974419,16.0
25,EOS-USD,DOT-USD,0.1415272642628374,5.0
26,EOS-USD,DOGE-USD,11.089783991669448,5.0
27,EOS-USD,UNI-USD,0.1364351187471414,11.0
28,NEAR-USD,DOGE-USD,20.771686082823415,12.0
29,ALGO-USD,LTC-USD,0.0011577357066781143,9.0
30,XMR-USD,LTC-USD,1.6477449362422307,18.0
31,UMA-USD,DOT-USD,0.30679062232388304,5.0
32,UMA-USD,DOGE-USD,24.03733220033779,9.0
33,UMA-USD,UNI-USD,0.2957192365174965,13.0
34,UMA-USD,ETH-USD,0.0008460899167779291,4.0
35,BTC-USD,DOT-USD,5799.362383457704,23.0
36,BTC-USD,CRV-USD,38670.32552224095,20.0
37,BTC-USD,LTC-USD,303.1683275673314,20.0
38,DOT-USD,UNI-USD,0.9639562238550512,15.0
39,DOT-USD,ETH-USD,0.00275751824554541,9.0
40,CRV-USD,AVAX-USD,0.05864986442145861,23.0
41,DOGE-USD,UNI-USD,0.012301317508982093,10.0
